SKU,NombreProducto,Ventas_Proyectadas_Regular,Ventas_Proyectadas_Cyber,Elasticidad_IA
146912,EKOS SAB BAR PITANGA CREMOSO 100G,2.2,4.7,-3.08
197771,LUMINA COND MASCARA MONTADO 3X200ML,1.1,1.9,-2.05
215944,ESSENCIAL EXCLUSIVO MASC NAVIDAD 2025 CH,3.1,2.3,0.73
215945,HUMOR PROPRIO NAVIDAD 2025 CHI,5.3,7.6,-1.21
181136,TODODIA DES SPRAY CORP NOIT VERAO 200ML,4.0,6.5,-1.67
166370,AGUAS EDT FRAMBOESA FEMININO 150ML MEX,2.3,3.2,-1.01
191536,EKOS RF ESFOL ACAI EM PO 100G,1.1,2.4,-3.31
174597,EKOS DES HID CORP ACAI LUMINOS 250ML LTM,2.7,5.1,-2.49
194522,EKOS HID POLPA MAOS PITANGA 40G,1.0,4.4,-9.28
174171,EKOS EDT FRESCOR ACAI 75ML LTM,1.2,1.6,-0.8
140681,EKOS PO ESFOLIANTE ACAI 100G TERC LTM,2.3,4.1,-2.17
181134,TODODIA DES ROLLON NOIT DE VERAO 70ML,2.1,3.7,-2.14
194512,EKOS EDT FRESCOR PITANGA 75ML LTM,1.3,1.5,-0.24
181896,TODODIA DES HID CORP NOIT VER 400ML LTM,2.5,4.9,-2.56
181138,TODODIA SAB BAR NOIT DE VERAO 5X90G,1.3,2.5,-2.27
108150,UNA BASE MATTE 35Q 35C BF 30ML,1.1,1.1,0.05
140032,UNA BATOM INTRANSF VERMELHO 2M 7ML,1.2,1.0,0.28
176045,ESSENCIAL EAU PARFUM ATRAI FEM 50ML COL,2.0,3.2,-1.63
